shipping_id,company_id,shuttle_location,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,company_rating,company_location,total_fleet_count,iata_approved
45163,32413,Sao Tome and Principe,Plasma,ThetaBase Services,2,4,moderate,2,0,0,1715.0,91.0,10.0,9.0,9.0,9.0,9.0,9.0,26,0.77,1.0,Faroe Islands,1,0
49438,14122,Wallis and Futuna,Plasma,ThetaBase Services,3,5,moderate,3,0,0,3405.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,61,0.62,1.0,Malta,1,1
10750,47761,Niue,Quantum,ThetaBase Services,1,2,strict,1,1,0,1806.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,467,4.66,1.0,Niue,2,0
4146,26648,Malta,Quantum,ThetaBase Services,1,2,moderate,1,0,0,1676.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,318,3.22,1.0,Niue,2,1
5067,26648,Malta,Plasma,ThetaBase Services,5,10,strict,5,0,0,4718.0,97.0,10.0,9.0,10.0,10.0,9.0,10.0,22,0.29,1.0,Niue,2,1
14891,24304,Faroe Islands,Plasma,ThetaBase Services,2,4,strict,3,0,0,2950.0,93.0,9.0,8.0,10.0,9.0,9.0,9.0,15,0.19,1.0,Micronesia,1,1
5689,42867,Malta,Quantum,ThetaBase Services,1,2,strict,1,0,0,1975.0,92.0,9.0,10.0,9.0,10.0,10.0,9.0,75,0.79,1.0,Indonesia,2,1
75321,47761,Faroe Islands,Quantum,ThetaBase Services,1,2,strict,1,1,0,1455.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,450,4.5,1.0,Niue,2,0
25733,11275,Malta,Quantum,ThetaBase Services,1,2,strict,1,0,0,1338.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,168,2.55,1.0,Brazil,3,1
38733,21747,Bouvet Island (Bouvetoya),Quantum,Warwick Technology Multinational,1,2,strict,1,0,0,1455.0,88.0,10.0,8.0,9.0,9.0,9.0,9.0,38,0.41,0.67,Gambia,1,1
18221,42114,Barbados,Quantum,ThetaBase Services,0,1,moderate,1,0,0,1845.0,95.0,9.0,10.0,10.0,10.0,10.0,9.0,184,1.9,1.0,Sao Tome and Principe,3,1
18590,29416,Anguilla,Quantum,ThetaBase Services,1,2,flexible,1,0,0,1169.0,95.0,10.0,9.0,10.0,10.0,9.0,10.0,172,1.91,1.0,Anguilla,1,0
19813,37646,Rwanda,Plasma,ThetaBase Services,1,3,strict,1,1,0,2625.0,72.0,7.0,8.0,8.0,8.0,9.0,8.0,10,0.15,1.0,Estonia,60,0
74856,21836,Malta,Plasma,ThetaBase Services,1,2,strict,1,1,0,1975.0,95.0,9.0,10.0,10.0,10.0,9.0,9.0,176,1.95,1.0,Mauritania,3,0
29755,28884,Faroe Islands,Quantum,ThetaBase Services,1,1,strict,1,0,0,1169.0,93.0,9.0,10.0,10.0,10.0,9.0,9.0,23,0.27,1.0,Micronesia,2,1
12358,42114,Barbados,Plasma,ThetaBase Services,2,3,strict,2,1,0,3470.0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,23,0.28,1.0,Sao Tome and Principe,3,1
259,31859,Rwanda,Plasma,ThetaBase Services,1,3,moderate,1,1,0,2495.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182,1.97,1.0,Maldives,2,0
71339,4795,Marshall Islands,Quantum,ThetaBase Services,1,2,moderate,1,0,0,1390.0,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59,1.0,Malta,1,0
56080,5570,Russian Federation,Plasma,ThetaBase Services,1,4,moderate,2,0,0,2040.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,26,1.07,1.0,Finland,1,1
66614,33906,Malta,Plasma,ThetaBase Services,2,5,strict,3,0,0,3210.0,93.0,9.0,9.0,9.0,9.0,10.0,9.0,15,0.18,0.8,Marshall Islands,1,0
16137,11781,Niue,Quantum,ThetaBase Services,1,2,strict,1,0,0,1455.0,96.0,9.0,9.0,10.0,10.0,9.0,9.0,65,0.71,1.0,Guinea,2,1
54844,32063,Niue,Quantum,ThetaBase Services,1,1,moderate,1,0,0,1377.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,74,1.05,1.0,Niue,2,1
58486,14240,Bouvet Island (Bouvetoya),Plasma,ThetaBase Services,2,4,strict,2,0,0,2625.0,60.0,9.0,8.0,8.0,8.0,9.0,7.0,3,0.03,1.0,Chile,3,1
14259,14191,Nicaragua,Quantum,ThetaBase Services,1,3,strict,2,0,0,1650.0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,202,2.2,1.0,Slovakia (Slovak Republic),1,0
5637,37646,United Kingdom,Plasma,ThetaBase Services,2,5,strict,2,1,0,3028.0,87.0,9.0,9.0,9.0,9.0,9.0,9.0,25,0.34,1.0,Estonia,60,0
23951,15391,Micronesia,Quantum,ThetaBase Services,1,2,moderate,1,0,0,1429.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,34,0.93,0.9,Niger,2,1
2990,14240,Bouvet Island (Bouvetoya),Plasma,ThetaBase Services,1,2,strict,1,0,0,2235.0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,25,0.28,1.0,Chile,3,1
7653,37392,Costa Rica,Plasma,ThetaBase Services,1,4,strict,2,1,0,2300.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,70,0.8,1.0,Micronesia,7,1
40515,9011,Russian Federation,Quantum,ThetaBase Services,1,2,moderate,1,0,0,1416.0,97.0,10.0,9.0,9.0,10.0,10.0,9.0,64,0.73,1.0,Russian Federation,1,0
45692,26524,Niue,Plasma,ThetaBase Services,2,6,strict,3,0,0,1845.0,91.0,9.0,10.0,10.0,10.0,8.0,9.0,15,0.28,1.0,Guinea,2,1
15000,35807,Sao Tome and Principe,Quantum,ThetaBase Services,1,2,moderate,0,1,0,1611.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,141,1.6,1.0,Sao Tome and Principe,2,0
