id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
45163,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,f,f,"$1,715.0",32413
49438,Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3,5,moderate,3,f,f,"$3,405.0",14122
10750,Niue,Type F5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,806.0",47761
4146,Malta,Type V2,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,676.0",26648
5067,Malta,Type V2,Plasma,ThetaBase Services,5,10,strict,5,f,f,"$4,718.0",26648
14891,Faroe Islands,Type V5,Plasma,ThetaBase Services,2,4,strict,3,f,f,"$2,950.0",24304
5689,Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,975.0",42867
75321,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,455.0",47761
27341,Malta,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$2,495.0",5252
25733,Malta,Type V2,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,338.0",11275
38733,Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1,2,strict,1,f,f,"$1,455.0",21747
61198,Barbados,Type V5,Plasma,ThetaBase Services,1,4,flexible,1,f,f,"$2,430.0",40644
9858,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,715.0",2817
18221,Barbados,Type V5,Quantum,ThetaBase Services,0,1,moderate,1,f,f,"$1,845.0",42114
18590,Anguilla,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,169.0",29416
19813,Rwanda,Type G0,Plasma,ThetaBase Services,1,3,strict,1,t,f,"$2,625.0",37646
74856,Malta,Type V5,Plasma,ThetaBase Services,1,2,strict,1,t,f,"$1,975.0",21836
76722,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$1,858.0",15268
29755,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,169.0",28884
12358,Barbados,Type V5,Plasma,ThetaBase Services,2,3,strict,2,t,f,"$3,470.0",42114
16167,Barbados,Type V5,Plasma,ThetaBase Services,2,6,moderate,3,f,f,"$5,550.0",15306
259,Rwanda,Type V5,Plasma,ThetaBase Services,1,3,moderate,1,t,f,"$2,495.0",31859
71339,Marshall Islands,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,390.0",4795
48376,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,520.0",46456
25335,Kiribati,Type V5,Plasma,ThetaBase Services,1,2,flexible,1,t,f,"$1,585.0",26562
56080,Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,moderate,2,f,f,"$2,040.0",5570
66614,Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,3,f,f,"$3,210.0",33906
51751,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,572.0",464
16137,Niue,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,455.0",11781
54844,Niue,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,377.0",32063
58486,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,625.0",14240
14259,Nicaragua,Type V5,Quantum,ThetaBase Services,1,3,strict,2,f,f,"$1,650.0",14191
41603,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,5,strict,5,f,f,"$1,468.0",14369
258,Anguilla,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,195.0",28781
5637,United Kingdom,Type G0,Plasma,ThetaBase Services,2,5,strict,2,t,f,"$3,028.0",37646
23951,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,429.0",15391
2990,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,235.0",14240
